feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,is_right_hand,timestamp,session_id,label
0.0,0.0,0.0,-0.2206585173127504,-0.21469462198342432,-0.06582337850687656,-0.3342594334683775,-0.562242039794426,-0.10221618547330709,-0.34051584356845027,-0.8695534498314752,-0.14728881103102442,-0.3544349385465896,-1.1426680799949944,-0.18707395036167626,-0.19683258817768604,-0.9728498319535114,-0.013036165012763425,-0.24799201911319968,-1.2410311804731298,-0.10170455384828342,-0.2858510438459615,-1.4354871863147904,-0.15978958503213495,-0.31248251019661877,-1.6199418917567816,-0.20824276597882155,-0.013490941508902577,-0.9990136753761394,-0.04230450222684125,-0.20866020254498666,-0.9422908539241234,-0.17339803333079296,-0.20929812516831364,-0.6764388045310125,-0.19748971764477669,-0.14657193892817896,-0.582027458394115,-0.18911906187165559,0.12960928786619536,-0.9212378045336712,-0.08862096670612571,-0.09091739744713635,-0.7799297290108534,-0.209994160602558,-0.09635436548395306,-0.541334045673851,-0.15797649433496236,-0.04103100682211884,-0.48723444058716797,-0.10052319362742865,0.2384211762374679,-0.781260470865168,-0.14763726173845454,0.029065349525335717,-0.6612130100084829,-0.2248242337301759,0.02212213077175637,-0.49390978793767315,-0.18930965978798842,0.08292793750668091,-0.4600882684515462,-0.14573695505762396,0.47958150130370747,0.8117328573225584,1.2109133452092657,1.6628956977001987,0.6292895320669922,0.49918519216036933,0.4896912472725257,178.24405441404247,177.2613484452987,96.73463697835719,100.77086342996735,96.88333641035652,0.325933307075298,-0.07856912266719357,0.9421222703568083,1.0,1784744086.3709922,session_001,2
0.0,0.0,0.0,-0.2241789571323817,-0.2000741166574698,-0.07351588090996028,-0.35015388581510065,-0.5317880403307779,-0.11366079015261982,-0.39292119955067617,-0.8201604601272375,-0.16136626349442038,-0.4485539549195828,-1.0640744418794923,-0.20449559316763594,-0.22918585535907193,-0.9537839597385929,-0.03531721937822574,-0.26657687852750583,-1.2362934702866588,-0.1306532483046052,-0.2910232476964989,-1.4413647328945893,-0.19665369331405022,-0.3052130086365993,-1.6345653855576296,-0.2501836389992069,-0.042970121275941936,-0.9973079704991664,-0.059417006457451085,-0.21029927877117321,-0.8938972216731296,-0.19523078147999037,-0.21184909458749618,-0.6422419228550345,-0.22657439825585032,-0.16043529333113796,-0.5430833654911448,-0.22268764349150025,0.10483577531183018,-0.9223752614458538,-0.09921438512684477,-0.09090833069970122,-0.7363185491730797,-0.21738238034434706,-0.09689085460144155,-0.5085155267781547,-0.16872910765648313,-0.053268524974390025,-0.4425161017771929,-0.11319931094874024,0.21997990562438355,-0.7773459772188781,-0.15290132504451892,0.03954965965794702,-0.6190579758926597,-0.22782017690941353,0.029434956999497143,-0.46510197547283466,-0.19365162176108375,0.07506884286843593,-0.4277481701749096,-0.14921766392047564,0.5899948654284888,0.8259222771463794,1.1727205617537946,1.6815322873876235,0.608497174835869,0.4598609790842225,0.45920555253989837,175.61119383835506,177.3238027634157,111.882632474546,112.2080553403303,109.92716691050441,0.29023381685090566,-0.1049614977945068,0.9511821148112957,1.0,1784744086.4627469,session_001,2
0.0,0.0,0.0,-0.22339083915132216,-0.19516681360762242,-0.06569990460665437,-0.383314530143848,-0.5401376378489974,-0.1043796359215963,-0.5134000282373128,-0.7868322649420314,-0.15013897549705935,-0.6582586928918474,-0.8957152449674073,-0.1953961475279227,-0.20576516006990814,-0.9550595975850401,-0.05427451958388447,-0.24608338875774724,-1.2512189330232522,-0.15059808217470963,-0.26810705119476547,-1.4680295695371577,-0.2248472822377949,-0.278325558126316,-1.6742666666654806,-0.28919038635301375,-0.021897317082796963,-0.9965008737696219,-0.08066297837890321,-0.20295101314997138,-0.8475405046107969,-0.21076421942489118,-0.19899955717502524,-0.5938667529829162,-0.23841075229230127,-0.1400975137306759,-0.509848297627868,-0.23660503312705242,0.12641525594349445,-0.9059367649042255,-0.12032985809883062,-0.0712129821007379,-0.679787619863926,-0.21916111358840626,-0.07302420000060013,-0.478421849218747,-0.17024056654874498,-0.022746381967206148,-0.44234050853820456,-0.12361601740231387,0.23702147411491875,-0.7557621546225584,-0.1747699043798279,0.06255661796692816,-0.5567374890703031,-0.24009248629078847,0.050320000107140356,-0.41151344731031775,-0.21240788912349773,0.09918974034547676,-0.3993224262635796,-0.1778835440233639,0.8713718278425306,0.905781789812489,1.1286230377337951,1.7217041171387346,0.5792706980752657,0.45985154468028555,0.44826282462540556,154.82633505509727,176.75641207683597,117.24591041044806,114.89915188442951,116.24119109078183,0.31081833417941274,-0.12054253252139784,0.9427944956305498,1.0,1784744086.5408409,session_001,2
0.0,0.0,0.0,-0.23069711667431783,-0.1867450219296136,-0.07198213205625713,-0.4222665610763836,-0.5144857385129932,-0.12031527303161987,-0.5988232900308426,-0.717350994101177,-0.17829962549687967,-0.7767123403363582,-0.7988700588581755,-0.23584638453763768,-0.20492128006309507,-0.9578750491010566,-0.04867493107683425,-0.2359166838351037,-1.2591368975024708,-0.1376132013455825,-0.24905464842739705,-1.4782742431586247,-0.20303449288152672,-0.24976821453962939,-1.6797630515804551,-0.26123656748611424,-0.03142692244322211,-0.9965640471644794,-0.07663190226596776,-0.1904716656728571,-0.8386482887586549,-0.21588258366353405,-0.18696366335675998,-0.5722060814549736,-0.2520164833489673,-0.1267084712144176,-0.47558147802629797,-0.2522886919257646,0.1189282154118799,-0.9128476360646596,-0.11800392257647342,-0.05847087933189399,-0.6748218575173283,-0.22679420707829248,-0.061535635845685194,-0.4702780320634614,-0.18840964235655425,-0.011304954373071453,-0.43749096117845493,-0.1451946176775006,0.23982957032128915,-0.7726199691149789,-0.1734658362269236,0.07750142915071656,-0.5741545741007156,-0.23362459010796272,0.054832884749111674,-0.4240709491451427,-0.20406659222293297,0.09618394157050883,-0.4086159817198988,-0.16905443486403599,1.0267849033410308,0.958492216051378,1.138902518949854,1.718206220056581,0.5530663278421372,0.46109393848622776,0.45254587953063313,156.04577723246337,176.16739463205738,122.32406841924426,119.08439580849821,123.44974983732533,0.3123895077313246,-0.11474943836964038,0.9429980709700487,1.0,1784744086.635793,session_001,2
0.0,0.0,0.0,-0.23397347049756845,-0.17790995350950886,-0.06966485030881914,-0.43571088609202446,-0.5022169286974777,-0.11763599787865214,-0.6252375452567333,-0.6893465024970648,-0.17557496617582719,-0.8138988830555045,-0.7507596585157731,-0.2338882615376886,-0.20672111775695373,-0.950911811731951,-0.053653484007589125,-0.2404028221679953,-1.2605799200427512,-0.14247071859507401,-0.2485234385812244,-1.4844159448988736,-0.2103714480332044,-0.24211616245012618,-1.6887969560476215,-0.2720136874921309,-0.02922801407116471,-0.9961145611277683,-0.08307529297384018,-0.19551290901870064,-0.8205718611734776,-0.22601191792788694,-0.1840662446799513,-0.5528870533336966,-0.2652777145355781,-0.11438788740934773,-0.4522581932880937,-0.2679917628809257,0.12454621531772632,-0.9121089799541224,-0.124929738670957,-0.06295068750114058,-0.6556238290670889,-0.23393882645547523,-0.06078808016186126,-0.45247417559179587,-0.1967727044980876,-0.005940308866740282,-0.4157983518600949,-0.1550691393945187,0.24678742612356674,-0.770452033990614,-0.1808383166963297,0.07233597377555019,-0.5552918949693932,-0.24448636004372962,0.05520276983297399,-0.40754806651315145,-0.21809957726746826,0.10199098048580196,-0.3936056729578658,-0.18501846176931122,1.099228365376344,0.9842771301147925,1.131713380489442,1.7276130472586604,0.5379978133359007,0.44381301769051373,0.44672073724033873,153.91683072358222,174.1877805099225,122.43316000795713,119.05851708649428,121.32434178913152,0.3124154506537451,-0.12107859061573817,0.9421977292942941,1.0,1784744086.727797,session_001,2
0.0,0.0,0.0,-0.21476018939955327,-0.1754416083499161,-0.08158135313226368,-0.4028986896110818,-0.48266669190320544,-0.13348804941973208,-0.5936408813812559,-0.6475132982988431,-0.1927802789857471,-0.7773896096312498,-0.6953390847171191,-0.2533430909766223,-0.20255775478217253,-0.9423328843038609,-0.06566199100941278,-0.25173828656049707,-1.2628898531849597,-0.16171032310750066,-0.26522936687420534,-1.4918706011690166,-0.2300501798611021,-0.263226924208686,-1.704715587549313,-0.2891259603218354,-0.019798139518130527,-0.9957578878820269,-0.08985689952555284,-0.17806554665240423,-0.8452999674437809,-0.23818760922056872,-0.17017884443329093,-0.5640663435520469,-0.2745697921083938,-0.11075385726564696,-0.4562675183999593,-0.27185578557042983,0.13820248699139517,-0.918114602708432,-0.12816195239813394,-0.03691318848215468,-0.6690798519433725,-0.24405365662957887,-0.03867386120649614,-0.4520037923437186,-0.2066462962433325,0.008655482992661737,-0.4161698347073638,-0.1615354344139054,0.2624603269075127,-0.780801384466197,-0.1810657636015655,0.10148640651547172,-0.5585048409150007,-0.24333574083749748,0.08720490920195202,-0.3968308198804849,-0.2142487376526034,0.1322070688441562,-0.3856609691990708,-0.17916866107205506,1.1333510512146132,0.9637263609427567,1.073319043734647,1.748981837811356,0.5425421950357336,0.44650413802951466,0.445325163589801,154.33605354405032,173.04235318515128,120.36231429697331,121.11900795882963,124.08609633731233,0.2801057194141056,-0.1265171256651895,0.9515956088932552,1.0,1784744086.8199117,session_001,2
0.0,0.0,0.0,-0.2127687106484526,-0.18573179195636916,-0.09197262790609136,-0.38794578452517586,-0.4790487487297915,-0.1529196034707075,-0.5675130334144955,-0.6631554257890081,-0.22167950328918443,-0.744616054526203,-0.7195368720532562,-0.2899919707327766,-0.224103809521984,-0.9415765297933011,-0.060237542073322964,-0.2835571571328535,-1.2187574757451154,-0.16552106450217557,-0.31026571887887583,-1.4263414806124328,-0.2380557971564011,-0.31705538068916445,-1.631861139862542,-0.2975626190721671,-0.04988273119306088,-0.9954350161933629,-0.08136855452101996,-0.19476296481993452,-0.8655737207315741,-0.22259438153050096,-0.1868457632485848,-0.5958771421949381,-0.25290042895563863,-0.13236080125839925,-0.5235246389231895,-0.24780321556914833,0.10645045315103081,-0.9248175324164153,-0.12024161808551574,-0.05211707034137643,-0.6975638997695829,-0.23818489144570257,-0.0590743996595416,-0.48002529081612905,-0.19810926781360483,-0.01700478049825855,-0.4564752747820701,-0.14990011033500186,0.23070390043897407,-0.7954691250769865,-0.17502826044283581,0.08751177817174995,-0.5912609552584296,-0.2375008467806201,0.06814337040060514,-0.4303237955997902,-0.20715327014905177,0.1086462190807713,-0.4178782144688892,-0.1711153078630626,1.0075718406952483,0.9127902903907256,1.0753054087057468,1.6887979175989392,0.594141281948857,0.4807586526788739,0.4644423017268395,152.7845877026699,172.4361256423234,117.68401042958025,119.81938393157643,125.9893864606067,0.2811021841159675,-0.12775402324931084,0.9511364106314336,1.0,1784744086.9160273,session_001,2
0.0,0.0,0.0,-0.20408130573904426,-0.18874279103430766,-0.09330889762953608,-0.3600444767042271,-0.471257755523172,-0.1538515438124727,-0.48881795854627097,-0.7092964461202962,-0.22024595149554838,-0.5991703642565924,-0.8596922802290881,-0.2798948985170236,-0.24622100611109315,-0.9450117749958821,-0.04530910957205391,-0.3185251564193535,-1.1687501301576104,-0.15128218415358916,-0.3502390247708186,-1.3375159164835335,-0.2208727699408814,-0.35596777533507656,-1.51540569402365,-0.2734713078944792,-0.0783383040327172,-0.9948796113859802,-0.06385662823668665,-0.2081122445029989,-0.8541772161393015,-0.19911110740031387,-0.1988362218723803,-0.6032811482354705,-0.2237736452088492,-0.14964410194143068,-0.5573358755694069,-0.21428824429880897,0.07655777488745717,-0.9294894439690196,-0.10239492885845725,-0.06177951701453378,-0.6948155494434788,-0.22545104095149976,-0.06171901080850064,-0.4795827201621241,-0.182844116826297,-0.01795483368966325,-0.46382047053982,-0.12888305235214875,0.21058514846160017,-0.8064525631799911,-0.1566916017269871,0.07861709212127496,-0.6140704004429243,-0.22427030829484354,0.059607037857407175,-0.45072585529236936,-0.1923125961035582,0.09473395406501381,-0.43423044661025234,-0.1514719960471595,0.699391766326093,0.8240227040139484,1.0846276302513786,1.5804917053872256,0.6155778481128449,0.48172880973449184,0.4695469821036464,171.4645267320974,168.02856856086987,120.68419068436467,118.50766697540296,125.6368337965611,0.2682988419448955,-0.11575774043724467,0.9563555180684072,1.0,1784744087.0154455,session_001,2
0.0,0.0,0.0,-0.20347895874728997,-0.20964186244054767,-0.06087438969403792,-0.33767372717712424,-0.5016069273598938,-0.10106275565572795,-0.38990798477725847,-0.7597773510865453,-0.15116908983809163,-0.44909770153680717,-1.0014003964742957,-0.18955040792938369,-0.23952757821048304,-0.9576834936557161,0.02043020537164632,-0.31541785629819025,-1.0842634500593333,-0.09414496785644333,-0.36868043796533795,-1.1150739724476413,-0.17267736112815088,-0.4174002401262287,-1.1342715116454056,-0.2157156680615567,-0.08090649768995398,-0.9967137581607363,-0.003977803998044599,-0.21716038801637455,-0.8597268729590131,-0.12235259846902498,-0.19419683075601515,-0.6185038159481803,-0.15327227563026788,-0.1486293632535523,-0.54896102229855,-0.14879556223467277,0.05857260814568403,-0.9367518469037893,-0.05093551342250137,-0.0951173121467572,-0.7247690439243076,-0.16438641508623034,-0.08589759908775113,-0.5018409833559017,-0.1303747250151241,-0.05341176857842426,-0.45624364041329796,-0.08188241981153187,0.18057629410377812,-0.8159096876120627,-0.10982208723071649,0.03231114481474539,-0.6512505332628135,-0.17573408724227463,0.029699612709694945,-0.49046053384594485,-0.14681028452910336,0.06549933360152353,-0.4610119128913185,-0.10517705094327691,0.13908300810837304,0.7509651690533823,1.1137418267851467,1.2277328993046617,0.5878681918295614,0.4666002648032316,0.4773723479372061,176.94176377059176,154.24519736743127,120.16881306483248,120.51789453452749,117.23780189847483,0.31350212759724067,-0.05819104029034692,0.9478028375257855,1.0,1784744087.1141725,session_001,2
0.0,0.0,0.0,-0.19845510840232652,-0.2026085161490206,-0.05706331953760045,-0.3405524192278426,-0.530903332144811,-0.0886149279055657,-0.3822796409412437,-0.7979569059523439,-0.12934773648627348,-0.43554733218663433,-1.039387214027978,-0.16099584767336178,-0.19645068241244096,-0.964550471718825,0.039028680588737354,-0.2816339482958183,-1.0588292590372956,-0.06643230237905369,-0.35153240754358966,-1.1271982900453494,-0.14149248743027104,-0.4278820459127006,-1.193903216032229,-0.187777185036977,-0.044060275178997174,-0.9989855908745747,0.009299536339407109,-0.21040908404025596,-0.8847040757185961,-0.1134893186562929,-0.19564060560421725,-0.6182194508291338,-0.14418045352933567,-0.14294166166494884,-0.5469832963044673,-0.1355241437235892,0.0859225768977517,-0.9334371110230788,-0.04283986750189313,-0.09432636773826666,-0.7420206789594049,-0.1723832055313728,-0.08488770276718617,-0.4939549184416953,-0.13954742355840974,-0.03669196330489262,-0.44893093814987844,-0.0860583623937982,0.19448617558831655,-0.809629834534359,-0.10558527973297177,0.026380318597722354,-0.661550495591171,-0.18844322270889524,0.02125252030494934,-0.475047346707291,-0.16037000638363358,0.068625481406277,-0.4392626371696972,-0.11623814636224716,0.1570069792080046,0.7850751464300586,1.1383966453867476,1.2820874407336453,0.58136893502117,0.4585753254779414,0.4595350125738533,176.2365213734406,170.6614954367395,111.64965120956842,112.26527290735861,110.46125240169567,0.35902724757540405,-0.035385201079563756,0.9326560582781781,1.0,1784744087.211951,session_001,2
